Title,Issue,Volume,Year,Key,Box,CV_Search,Cover_URL_paste_here
Batman,125,3,2022,YES,72,https://comicvine.gamespot.com/search/?indices[0]=issue&q=Batman%20125,
Batman,125,3,2023,YES,72,https://comicvine.gamespot.com/search/?indices[0]=issue&q=Batman%20125,
Captain America and the Mighty Avengers,1,5,2014,YES,10,https://comicvine.gamespot.com/search/?indices[0]=issue&q=Captain%20America%20and%20the%20Mighty%20Avengers%201,
Batman and the Outsiders,4,5,2019,,UNKNOWN — needs physical reassignment,https://comicvine.gamespot.com/search/?indices[0]=issue&q=Batman%20and%20the%20Outsiders%204,
Batman and the Outsiders,5,5,2019,,UNKNOWN — needs physical reassignment,https://comicvine.gamespot.com/search/?indices[0]=issue&q=Batman%20and%20the%20Outsiders%205,
Batman and the Outsiders,6,5,2019,,UNKNOWN — needs physical reassignment,https://comicvine.gamespot.com/search/?indices[0]=issue&q=Batman%20and%20the%20Outsiders%206,
Batman and the Outsiders,7,5,2019,,UNKNOWN — needs physical reassignment,https://comicvine.gamespot.com/search/?indices[0]=issue&q=Batman%20and%20the%20Outsiders%207,
Future State: Legion of Super-Heroes,1,1,2021,,UNKNOWN — needs physical reassignment,https://comicvine.gamespot.com/search/?indices[0]=issue&q=Future%20State%3A%20Legion%20of%20Super-Heroes%201,
Future State: Legion of Super-Heroes,2,1,2021,,UNKNOWN — needs physical reassignment,https://comicvine.gamespot.com/search/?indices[0]=issue&q=Future%20State%3A%20Legion%20of%20Super-Heroes%202,
Ultimate Spider-Man: Incursion,5,1,2024,,85,https://comicvine.gamespot.com/search/?indices[0]=issue&q=Ultimate%20Spider-Man%3A%20Incursion%205,
X-Treme X-Men,23,1,2003,,12,https://comicvine.gamespot.com/search/?indices[0]=issue&q=X-Treme%20X-Men%2023,
X-Treme X-Men,24,1,2003,,12,https://comicvine.gamespot.com/search/?indices[0]=issue&q=X-Treme%20X-Men%2024,
X-Treme X-Men,25,1,2003,,12,https://comicvine.gamespot.com/search/?indices[0]=issue&q=X-Treme%20X-Men%2025,
