title,issue,year,volume,publisher,box,era
Jeff the Land Shark,3,2026,,Marvel,CC1,Modern
Thor,801,2026,,Marvel,CC1,Modern
Spider-Man/Hulk: Fire & Brimstone,2,2026,1,Marvel,CC1,Modern
Green Lantern,39,2026,,DC,CC5,Modern
Justice League Unlimited,23,2026,1,DC,101,Modern
Miles Morales: Spider-Man,2,2026,,Marvel,102,Modern
Bishop,4,2026,,Marvel,102,Modern
Absolute Batman,24,2026,1,DC,101,Modern
Absolute Wonder Woman,24,2026,1,DC,101,Modern
Absolute Flash,19,2026,1,DC,101,Modern
Void Rivals,34,2026,1,Skybound,103,Modern
The Last Starfighter,3,2026,1,Mad Cave Studios,103,Modern
Terminal,3,2026,1,Image,103,Modern
