row_index,Title,Issue #,Year,Publisher,Volume,Box #,correct_box_num
10679,The Avengers,60.0,1969,Marvel,1.0,AT CGC — Roy Thomas SS,
10680,The Avengers,62.0,1969,Marvel,1.0,AT CGC — Roy Thomas SS,
10681,The Avengers,87.0,1971,Marvel,1.0,AT CGC — Roy Thomas SS,
10880,Absolute Wonder Woman,1.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10881,Batman/Wonder Woman: Truth,1.0,2025,DC,5.0,UNKNOWN — needs physical reassignment,
10882,Future State: Aquaman,1.0,2021,DC,1.0,UNKNOWN — needs physical reassignment,
10883,Future State: Aquaman,2.0,2021,DC,1.0,UNKNOWN — needs physical reassignment,
10884,Future State: Legion of Super-Heroes,1.0,2021,DC,1.0,UNKNOWN — needs physical reassignment,
10885,Future State: Legion of Super-Heroes,2.0,2021,DC,1.0,UNKNOWN — needs physical reassignment,
10886,Batman and the Outsiders,4.0,2019,DC,4.0,UNKNOWN — needs physical reassignment,
10887,Batman and the Outsiders,5.0,2019,DC,4.0,UNKNOWN — needs physical reassignment,
10888,Batman and the Outsiders,6.0,2019,DC,4.0,UNKNOWN — needs physical reassignment,
10889,Batman and the Outsiders,7.0,2019,DC,4.0,UNKNOWN — needs physical reassignment,
10890,100-Page Giant: Aquaman,1.0,2019–2020,DC,1.0,UNKNOWN — needs physical reassignment,
10891,Supergirl: Woman of Tomorrow,2.0,2021,DC,1.0,UNKNOWN — needs physical reassignment,
10892,Supergirl: Woman of Tomorrow,3.0,2021,DC,1.0,UNKNOWN — needs physical reassignment,
10893,Supergirl: Woman of Tomorrow,4.0,2021,DC,1.0,UNKNOWN — needs physical reassignment,
10894,Supergirl: Woman of Tomorrow,5.0,2021,DC,1.0,UNKNOWN — needs physical reassignment,
10895,Supergirl: Woman of Tomorrow,6.0,2021,DC,1.0,UNKNOWN — needs physical reassignment,
10896,Defenders,10.0,2012,Marvel,4.0,UNKNOWN — needs physical reassignment,
10897,Defenders,12.0,2012,Marvel,4.0,UNKNOWN — needs physical reassignment,
10898,Absolute Wonder Woman,20.0,2025,DC,1.0,UNKNOWN — needs physical reassignment,
10899,Absolute Wonder Woman,3.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10900,Absolute Wonder Woman,4.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10901,Absolute Wonder Woman,5.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10902,Absolute Wonder Woman,6.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10903,Absolute Wonder Woman,7.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10904,Absolute Wonder Woman,8.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10905,Absolute Wonder Woman,10.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10906,Absolute Wonder Woman,11.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10907,Absolute Wonder Woman,13.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10908,Absolute Wonder Woman,14.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10909,Absolute Wonder Woman,15.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10910,Absolute Wonder Woman,16.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10911,Absolute Wonder Woman,18.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10912,Absolute Wonder Woman,19.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10913,Batman,163.0,2025,DC,1.0,UNKNOWN — needs physical reassignment,
10914,Batman,155.0,2025,DC,1.0,UNKNOWN — needs physical reassignment,
10915,Absolute Flash,1.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10916,Absolute Flash,3.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10917,Absolute Flash,4.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10918,Absolute Flash,5.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10919,Absolute Flash,6.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10920,Absolute Flash,7.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10921,Absolute Flash,8.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10922,Absolute Flash,9.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10923,Absolute Flash,10.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10924,Absolute Flash,11.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10925,Absolute Flash,12.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10926,Absolute Flash,13.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10927,Absolute Flash,14.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10928,Absolute Green Lantern,3.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10929,Absolute Green Lantern,4.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10930,Absolute Green Lantern,5.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10931,Absolute Green Lantern,6.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10932,Absolute Green Lantern,7.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
10933,Absolute Green Lantern,8.0,2024,DC,1.0,UNKNOWN — needs physical reassignment,
