Publisher Name,Series Name,Full Title,Release Date,In Collection,In Wish List,Marked Read
IDW Publishing,Barack Obama: Presidential Material,Barack Obama: Presidential Material #1,2008-01-01,1,0,0
Independent,The All-Star Story of the Dodgers,The All-Star Story of the Dodgers #1,1979-01-01,1,0,0
DC Comics,Green Lantern,Green Lantern #12,2024-01-01,1,0,0
DC Comics,Green Lantern,Green Lantern #10,2024-01-01,1,0,0
DC Comics,Nightwing,Nightwing #113,2006-01-01,1,0,0
DC Comics,Lois Lane,Lois Lane #3,2019-01-01,1,0,0
DC Comics,Martian Manhunter,Martian Manhunter #1,2019-01-01,1,0,0
DC Comics,Batman,Batman #656,2006-01-01,1,0,0
DC Comics,Batman,Batman #657,2007-01-01,1,0,0
DC Comics,Batman,Batman #436,1989-01-01,1,0,0
DC Comics,Batman,Batman #436,1989-01-01,1,0,0
DC Comics,Doom Patrol,Doom Patrol #9,1988-01-01,1,0,0
DC Comics,Doom Patrol and Suicide Squad Special,Doom Patrol and Suicide Squad Special #1,1988-01-01,1,0,0
DC Comics,Suicide Squad,Suicide Squad #10,1988-01-01,1,0,0
DC Comics,DC/Marvel: All Access,DC/Marvel: All Access #2,1997-01-01,1,0,0
Marvel Comics,The Mighty Thor,The Mighty Thor #390,1988-01-01,1,0,0
Marvel Comics,Avengers,Avengers #363,1993-01-01,1,0,0
Marvel Comics,Captain Marvel,Captain Marvel #50,2021-01-01,1,0,0
Marvel Comics,U.S. Agent,U.S. Agent #1,1993-01-01,1,0,0
Marvel Comics,Cable,Cable #1,1993-01-01,1,0,0
Marvel Comics,Klaws of the Panther,Klaws of the Panther #1,2010-01-01,1,0,0
Marvel Comics,Fallen Son: The Death of Captain America — Spider-Man,Fallen Son: The Death of Captain America — Spider-Man One-Shot,2007-01-01,1,0,0
Marvel Comics,Alpha Flight,Alpha Flight #1,1983-01-01,1,0,0
Marvel Comics,The Mighty Thor,The Mighty Thor #412,1989-01-01,1,0,0
Marvel Comics,The Saga of the Original Human Torch,The Saga of the Original Human Torch #3,1990-01-01,1,0,0
Marvel Comics,Exiles,Exiles #23,2003-01-01,1,0,0
Marvel Comics,A-Force,A-Force #1,2016-01-01,1,0,0
Marvel Comics,Miles Morales: Spider-Man,Miles Morales: Spider-Man #1,2019-01-01,1,0,0
Marvel Comics,Silver Surfer,Silver Surfer #50,1991-01-01,1,0,0
Marvel Comics,Uncanny X-Men,Uncanny X-Men #275,1991-01-01,1,0,0
Marvel Comics,Falcon,Falcon #1,1983-01-01,1,0,0
