variant,canonical
Star Trek: The Next Generation — Terra Incognito,Star Trek: The Next Generation: Terra Incognita
Avengers: Wasteland,Avengers Of The Wastelands
S.H.I.E.L.D. Infinite,S.H.I.E.L.D.: Infinity
Captain America: The World to Come,The World to Come
Spider-Man: Double Trouble,Peter Parker & Miles Morales: Spider-Men Double Trouble
Infinity Warps: Ghost Panther,Infinity Wars: Ghost Panther
Marvel Legends: Black Panther,Black Panther Legends
Gene Grade,Jean Grey
Free Comic Book Day: Spider-Man,Free Comic Book Day 2022: Spider-Man/Venom
"All-New, All-Different Savage Avengers",Savage Avengers
Young Justice: Sins of the Father,Young Justice
Doom: Giant-Size One-Shot,Doom
Batman: Wayne Family Values,Batman: Wayne Family Adventures
Year of the Villain: Shazam,Black Adam: Year Of The Villain
X-Men: Magneto Hunt — Omega,X-Men: Magneto Hunt - Omega
Bloodhunt: Moon Knight,Vengeance Of The Moon Knight
Moon Knight and the Infinity Watch,Moon Knight Annual
X-Men: Fall of X,X-Men
Generations: The Americas,Generations: Sam Wilson Captain America & Steve Rogers Captain America
Ultimatum: Fantastic Four,Ultimate Fantastic Four
Generations: Thunder,Generations: The Unworthy Thor & The Mighty Thor
Generations: The Iron,Generations: Iron Man & Ironheart
Star Trek: The Next Generation—The Gift,Star Trek: The Next Generation Annual
Silver Surfer: All-New Beginnings,Silver Surfer
Justice League: The Darkseid War — Flash,Justice League: The Darkseid War: The Flash
Justice League: The Darkseid War — Batman,Justice League: Darkseid War: Batman
Justice League: The Darkseid War — Shazam,Justice League: The Darkseid War - Shazam
Justice League: The Darkseid War — Special,Justice League: The Darkseid War Special
Marvel Must Have: Fantastic Four,Fantastic Four
