character,count
Batman,933
Captain America,807
Wolverine,788
Superman,769
Wonder Woman,705
Iron Man,663
The Flash,656
Green Lantern,508
Thor,506
Black Widow,472
Hulk,392
Cyclops,375
Storm,371
Robin,370
Hawkeye,345
Spider-Man,345
Black Panther,338
Psylocke,301
Aquaman,297
Magneto,288
Beast,267
The Thing,260
Human Torch,248
Emma Frost,241
Invisible Woman,230
Iceman,220
Cyborg,213
Hawkgirl,212
Starfire,212
Jean Grey,187
Scarlet Witch,176
Angel,174
Deadpool,171
Professor X,171
Black Canary,168
Nightwing,165
Rocket Raccoon,156
Mr. Fantastic,152
Captain Marvel,149
Star-Lord,147
Harley Quinn,146
Gamora,146
Groot,145
Batgirl,143
Doctor Strange,139
Moon Knight,136
Marvel Girl,135
Huntress,130
Beast Boy,125
Cable,123
Raven,122
Green Arrow,118
Deadshot,117
Colossus,112
Iron Fist,109
Nightcrawler,109
Daredevil,108
Vision,106
Hawkman,103
Loki,100
Kid Flash,97
Catwoman,96
Thanos,93
Miles Morales,92
Doctor Doom,90
Lex Luthor,90
Drax,90
Namor,89
Luke Cage,88
Rogue,85
Speedy,84
Martian Manhunter,83
Gambit,82
Red Hood,79
Poison Ivy,78
Supergirl,75
Magik,75
Mister Fantastic,75
Aqualad,75
Winter Soldier,75
Superboy,74
Nova,67
She-Hulk,66
Wonder Girl,66
Sentinel,65
Wasp,65
Shazam,62
Darkseid,62
Kilowog,60
Medusa,58
Oracle,58
Deathstroke,57
Phoenix,54
Mystique,54
Captain Cold,53
Elektra,52
Venom,52
Shuri,51
Jubilee,50
Impulse,50
Red Skull,50
Nick Fury,50
Ms. Marvel,49
Captain Boomerang,49
Black Bolt,47
Joker,46
Black Manta,46
Killer Croc,44
Batwoman,44
Silver Surfer,43
Domino,43
Flash,41
Tony Stark,41
Falcon,40
Ant-Man,40
Kate Bishop,40
Spock,40
Sentry,39
Black Adam,38
Spoiler,38
Swamp Thing,37
Mockingbird,36
Power Girl,36
Bucky Barnes,36
Havok,36
Red Robin,35
Thing,34
Booster Gold,34
Blue Beetle,34
Polaris,34
Animal Man,34
War Machine,34
Hal Jordan,33
Fantastic Four,33
Red Arrow,33
Apocalypse,33
Drax the Destroyer,33
Arsenal,32
Zatanna,32
Mera,32
Red Hulk,32
Blade,31
Jean-Luc Picard,31
Firestorm,30
Steve Rogers,30
King Shark,30
Legion of Super-Heroes,30
James T. Kirk,30
Kitty Pryde,30
Lois Lane,29
Enchantress,29
Buffy Summers,29
Wonder Man,28
Doctor Octopus,28
Ares,27
Killmonger,27
Karnak,27
Heimdall,27
Misty Knight,26
Old Man Logan,26
Daisy Johnson,26
Jessica Jones,26
Ghost Rider,25
Sabretooth,25
Taskmaster,25
Thunderbolts,25
Galactus,25
Shang-Chi,25
Sinestro,24
Okoye,24
Green Goblin,24
Doctor Fate,24
The Doctor,24
The Eleventh Doctor,24
T'Challa,23
Batwing,23
Data,23
Two-Face,22
The Hulk,22
Bumblebee,22
Cheetah,22
Katana,22
Gorgon,22
Triton,22
Logan,22
Ultron,22
Jane Foster,22
Odin,22
X-Men,21
Quicksilver,21
Valkyrie,21
Seven of Nine,21
Black Lightning,20
Carnage,20
Kamala Khan,20
Captain Jean-Luc Picard,20
Worf,20
Sif,20
Phil Coulson,20
Melinda May,20
Angela,19
Power Man,19
The Joker,19
Captain Atom,19
Killer Frost,19
Renee Montoya,19
Patriot,19
Excalibur,19
X-23,19
Hulkling,19
X-Force,19
Ikaris,19
Optimus Prime,18
Grodd,18
Lobo,18
Grayson,18
Nico Minoru,18
Mal Reynolds,18
Kaylee Frye,18
Wiccan,18
Archangel,18
Ironheart,18
Scarecrow,17
The Punisher,17
Jon Kent,17
Punisher,17
Sunfire,17
Hela,17
Carol Danvers,17
John Stewart,16
Wong,16
Black Cat,15
Hawkwoman,15
Damian Wayne,15
El Diablo,15
Dazzler,15
Zoe Alleyne Washburne,15
Bishop,15
Songbird,15
Spider-Woman,15
Willow Rosenberg,15
Reverse-Flash,14
Suicide Squad,14
Sunspot,14
Hellfire Club members,14
Bruce Banner,13
Pepper Potts,13
Penguin,13
Voodoo,13
Nakia,13
Captain Britain,13
Hope Summers,13
Ultimate Spider-Man,13
Scandal Savage,13
Kraven the Hunter,13
Norman Osborn,13
Mary Jane Watson,13
Bloodline,13
Cosmic Boy,13
Nebula,13
The Lone Ranger,13
Iris West,12
Cheshire,12
Black Mask,12
Grifter,12
Zealot,12
Sam Wilson,12
Metamorpho,12
Nomad,12
Starman,12
Sue Storm,12
Hellfire,12
Sersi,12
Dormammu,12
Wolfsbane,12
Peter Parker,12
Crystal,12
Brainiac 5,12
The Tenth Doctor,12
Spawn,11
Kang the Conqueror,11
Grundy,11
Fire,11
M'Baku,11
Captain Malcolm Reynolds,11
Thorgrim,11
Bullseye,11
Godzilla,11
Hercules,11
Stained Glass Scarlet,11
Saturn Girl,11
Colleen Wing,11
Ajak,11
Clint Barton,11
Megatron,10
Atlas,10
Gorilla Grodd,10
Naomi,10
Knockout,10
Constantine,10
River Tam,10
Secret Six,10
Cassandra Cain,10
Conan the Barbarian,10
Sentinels,10
Kingpin,10
William Riker,10
Q,10
Uhura,10
Monica Rambeau,10
Jemma Simmons,10
Magma,10
Scarlet Spider,10
Annihilus,10
Lightning Lad,10
Ragdoll,10
Firestar,9
The Falcon,9
Spider-Gwen,9
Doomsday,9
Heat Wave,9
Captain Planet,9
Bane,9
Question,9
Khonshu,9
Inhumans,9
Adam Strange,9
Generation X,9
Black Hand,9
Barbara Gordon,9
Stargirl,9
Red She-Hulk,9
Danny Rand,9
Scarlett,9
Multiple Man,9
Cannonball,9
Warlock,9
Adam Warlock,9
Surtur,9
Thena,9
Leo Fitz,9
Krakoa,9
Black Knight,9
Giles,9
Ocean Master,8
Creote,8
Vixen,8
The Hand,8
Phantom Girl,8
Mr. Terrific,8
Blob,8
Hourman,8
Ronin,8
Electro,8
Splitter,8
Grunge,8
Savage Avengers,8
Danielle Moonstar,8
Deanna Troi,8
Shadow Moon,8
Hellfire Club,8
Dani Moonstar,8
America Chavez,8
Abe Jenkins,8
Darkhawk,8
Ultimate Black Panther,8
Clayface,8
Khan Noonien Singh,8
Mantis,8
Yelena Belova,8
Cosmo,8
Bronze Tiger,7
Night Thrasher,7
Weather Wizard,7
Professor Zoom,7
Brainiac,7
Red Tornado,7
Fairchild,7
Giganta,7
Etrigan the Demon,7
Donna Troy,7
Man-Ape,7
Sharon Carter,7
Atrocitus,7
The Atom,7
Slade Wilson,7
Hellfire Club member,7
Johnny Storm,7
Burnout,7
Rocket,7
Iron Lad,7
Warpath,7
Avengers,7
Mirage,7
Doom,7
Mister Sinister,7
The Eternals,7
Flash Thompson,7
Deadman,7
The Ultimates,7
Jennifer Walters,7
Grant Ward,7
Outsiders,7
Timber Wolf,7
Star Sapphire,6
Doom Patrol,6
Plastique,6
Exodus,6
Captain Carter,6
Speedball,6
Dagger,6
Mirror Master,6
Plastic Man,6
Justice League of America,6
Atom,6
The Riddler,6
Riddler,6
Nubia,6
Baron Zemo,6
Tim Drake,6
Monkey Prince,6
Steel,6
Proxima Midnight,6
Stryfe,6
Maria Rambeau,6
Checkmate,6
Rick Flag,6
Chamber,6
Professor Charles Xavier,6
Ice,6
Maxine Baker,6
Death,6
Namor the Sub-Mariner,6
Threshold,6
Gen13,6
Yellowjacket,6
Giant-Man,6
Commander William Riker,6
Scotty,6
Chase Stein,6
White Queen,6
Eternals,6
Ultimate Iron Man,6
Volstagg,6
Gwen Stacy,6
Space Knight,6
Centurion,6
Betty Ross,6
Deathlock,6
Ronan the Accuser,6
Captain Janeway,6
Leonard McCoy,6
Chakotay,6
B'Elanna Torres,6
Tonto,6
Korvac,6
Wildfire,5
Krypto,5
Agent Carter,5
Guy Gardner,5
Yon-Rogg,5
Wally West,5
Golden Glider,5
Red Lantern,5
Steve Trevor,5
Diana Prince,5
Billy Batson,5
Bruce Wayne,5
Count Vertigo,5
The Question,5
Jenny Sparks,5
Ulysses Klaue,5
Mephisto,5
Erik Killmonger,5
Corvus Glaive,5
Captain America (Steve Rogers),5
Mandarin,5
Orphan,5
Salakk,5
Justice League Dark,5
Trigon,5
Clea,5
Betsy Braddock,5
Inara Serra,5
Wanda Maximoff,5
Toad,5
Vulture,5
Wildcat,5
Ben Grimm,5
Mary Marvel,5
Ex Machina,5
Wildcats,5
Big Barda,5
Skrull,5
Radiant Black,5
Odo,5
Counselor Deanna Troi,5
Wednesday,5
Ed Mercer,5
John LaMarr,5
Isaac,5
Claire Finn,5
Captain Mercer,5
Mercury,5
Chrononauts,5
Dum Dum Dugan,5
Agent Coulson,5
Fantomex,5
Howard Stark,5
Dracula,5
Howling Commandos,5
Kate Pryde,5
Hogun,5
Fandral,5
Sebastian Shaw,5
Ms. Marvel (Kamala Khan),5
Ultimatum,5
Joy,5
Man-Thing,5
Empyre,5
Joe Fixit,5
Marc Spector,5
Maestro,5
Shanna the She-Devil,5
Snake Eyes,5
Lady Shiva,5
Xander Harris,5
Legion Lost,5
Secret,5
Beverly Crusher,5
Starscream,5
Metal Men,5
Guardians of the Galaxy,5
Gert Yorkes,5
Old Lace,5
Beetle,5
Iron Patriot,5
Doc Savage,5
The Spirit,5
Juggernaut,4
Kyle Rayner,4
Cloak,4
Mr. Freeze,4
Spectre,4
Bizarro,4
Red X,4
Black Condor,4
Peacemaker,4
Powergirl,4
Birds of Prey,4
Midnighter,4
The Engineer,4
The Human Torch,4
Jonathan Kent,4
Larfleeze,4
Slipknot,4
Bunker,4
Detective Chimp,4
Artemis,4
Toro,4
Kimiyo Hoshi,4
Skin,4
Banshee,4
The Shadow,4
Kobra,4
Reed Richards,4
Freddy Freeman,4
Eugene Choi,4
Darla Dudley,4
Rainmaker,4
Gen 13,4
Freefall,4
Conan,4
Hank Pym,4
Triathlon,4
Lieutenant Worf,4
Kelly Grayson,4
Beak,4
Anole,4
Ava Ayala,4
Woodrow McCord,4
Bobbi Morse,4
Morbius,4
Natasha Romanoff,4
Fury,4
Raoul Bushman,4
Justice League,4
Marauders,4
New Mutants,4
Capwolf,4
Inhuman,4
Ganke Lee,4
Sherlock Holmes,4
Duke,4
Arrowette,4
Shrinking Violet,4
Dream Girl,4
Ra's al Ghul,4
The Outsiders,4
Slade,4
Klingon Warrior,4
Montgomery Scott,4
Captain Kirk,4
Gordon Mallory,4
Catman,4
Sugar and Spike,4
Buddy Baker,4
Gilgamesh,4
Norrin Radd,4
Ghost Light,4
Blue Marvel,4
The Mandarin,4
Roadblock,4
Molly Hayes,4
The Twelfth Doctor,4
River Song,4
Clara Oswald,4
Marvel Boy,3
Rick Jones,3
Spider-Man Noir,3
Lando Calrissian,3
Nekron,3
Magenta,3
Zoom,3
Etrigan,3
Zod,3
Crossbones,3
Sam Wilson/Captain America,3
Backlash,3
Colonel Jack O'Neill,3
Vampirella,3
Solomon Grundy,3
Jimmy Olsen,3
Apollo,3
Gorilla Man,3
Reptil,3
Tigra,3
Ebony Maw,3
Cull Obsidian,3
W'Kabi,3
Captain America (Sam Wilson),3
Peggy Carter,3
Skrull Kill Krew,3
Leviathan,3
Commissioner Gordon,3
Karma,3
Lockheed,3
The Terrifics,3
Steppenwolf,3
"Hoban ""Wash"" Washburne",3
Firefly,3
Rictor,3
Attuma,3
Orm,3
The Infected,3
Professor Xavier,3
Dove,3
Andrew Bennett,3
Desaad,3
Granny Goodness,3
Mysterio,3
Victor Stone,3
Eclipso,3
Hellboy,3
Wildstorm,3
Ultraman,3
Black Order,3
M.O.D.O.K,3
Tabitha Smith,3
The Ones,3
Benjamin Sisko,3
Anansi,3
Chekov,3
Alara Kitan,3
Longshot,3
Mastermind,3
Weapon X,3
Uncanny Avengers,3
Laura Kinney,3
Krona,3
Daken,3
Red Wolf,3
Sprite,3
Nextwave,3
Elsa Bloodstone,3
Aaron Stack,3
Photon,3
Skrulls,3
Rachael,3
Ravager,3
Lockjaw,3
Dane Whitman,3
Cletus Kasady,3
Prowler,3
Forge,3
Illyana Rasputin,3
Starro,3
Fist of Khonshu,3
Blood Hunt,3
The Immortal Hulk,3
Gorr the God Butcher,3
Maxwell Lord,3
Surge,3
Armor,3
Pixie,3
Rockslide,3
Predator,3
Azazel,3
Quake,3
Sam Wilson Captain America,3
Jonah Hex,3
Max Mercury,3
Red Arsenal,3
Simon Tam,3
Hack,3
Omega Red,3
Nightmare,3
Beast (Hank McCoy),3
Prestige,3
Rescue,3
Jen Walters,3
Ultimates,3
Ghost,3
Deathlok,3
Starbreaker,3
Chameleon Boy,3
Dawnstar,3
The Titans,3
Captain Picard,3
Klingons,3
Starling,3
Vibe,3
Apokolips,3
Franklin Richards,3
Ronan,3
Yondu,3
Xialing,3
Lady Jaye,3
White Widow,3
Bill Potts,3
Darth Vader,3
Namorita,2
Tower,2
Chewbacca,2
Han Solo,2
Spider-Ham,2
Minotaur,2
Flash Gordon,2
Trickster,2
Rogues Gallery,2
Manhunter,2
Hellbat,2
Faora,2
Silver Banshee,2
Streaky,2
Clark Kent,2
Lasso of Truth,2
Nemesis,2
Mordru,2
Hydra agents,2
Jackson Hyde,2
Amethyst,2
Jinx,2
Doctor Sivana,2
Spartan,2
Samantha Carter,2
Man-Bat,2
Vampires,2
The Monkey King,2
Rustam,2
Regulus,2
Johnny Sorrow,2
Despero,2
Icicle,2
Ras al Ghul,2
Kandor,2
Perry White,2
Swift,2
Jack Hawksmoor,2
Priest,2
Black Goliath,2
Dora Milaje,2
Ulysses,2
Sam Wilson: Captain America,2
Steve Rogers: Captain America,2
Signal,2
Saint Walker,2
Blish,2
Black Orchid,2
Hydra Agent,2
Far Sector,2
Zauriel,2
Batroc the Leaper,2
Ego,2
The Wildstorm,2
Doc Ock,2
Maria Hill,2
Anarky,2
Meggan,2
Morgan le Fay,2
Green Lantern (John Stewart),2
Nightmaster,2
Blue Devil,2
The Terrific,2
Fatality,2
Mondo,2
Ka-Zar,2
Penance,2
Lorna Dane,2
Doctor Mid-Nite,2
Hawk,2
Condor,2
Green Lantern Corps,2
Mary,2
Superboy-Prime,2
Legion Flight Ring,2
Saturn Queen,2
Jason Blood,2
Mister Terrific,2
Xombi,2
Starro the Conqueror,2
Duke Nukem,2
Vandal Savage,2
Amazons,2
Dreamer,2
Dinah Lance,2
Black Beetle,2
Sandman,2
Eobard Thawne,2
Ultra-Humanite,2
Robotman,2
Elasti-Woman,2
Negative Man,2
Lazarus,2
Zeus,2
Synmar,2
Pedro Peña,2
Sivana,2
Machina,2
Wildvine,2
The Fury,2
Topaz,2
Warblade,2
Condition Red,2
Sparrow,2
Majestic,2
He-Man,2
Teela,2
Static,2
Icon,2
Dolphin,2
Pegasus,2
Savage Hulk,2
Malekith,2
The Avengers,2
Kang,2
The Mighty Avengers,2
Stature,2
Speed,2
Firebird,2
Badrock,2
Technical Boy,2
Czernobog,2
Media,2
William T. Riker,2
Captain James T. Kirk,2
Abe Sapien,2
Die,2
Walker,2
Ray,2
Astonishing X-Men,2
Pyro,2
Titania,2
Moonstone,2
Hopeless,2
Gordan,2
Absorbing Man,2
Squirrel Girl,2
Royals,2
Infinity Watch,2
Druig,2
Machine Man,2
Blonde Phantom,2
Strike Force,2
Blitzkrieg,2
MODOK,2
Deckard,2
Union Jack,2
U.S. Agent,2
Blackfire,2
Warlord,2
Amatista,2
Legion of Doom,2
Rex Mason,2
Bumble Bee,2
Outlaw,2
Strix,2
Tiger,2
Tomar-Re,2
Wotan,2
Skeets,2
Jason Todd,2
Stained Glass Scarlet Scarab,2
Immortus,2
The Immortal Thor,2
The Defenders,2
Wilson Fisk,2
White Tiger,2
Mon-El,2
Bobby Drake,2
Bob Agent of Hydra,2
Talon,2
Mr. Mind,2
Rogues,2
Gerry Duggan,2
Phil Noto,2
Howard the Duck,2
Gwenverse,2
Goblin Queen,2
Foggy Nelson,2
Moon Girl,2
Scarlet,2
Rose Tyler,2
Vulcan,2
Hoban Washburne,2
Justice,2
Dream,2
Moriarty,2
Alexandria Ocasio-Cortez,2
Thunderbird,2
Dark Phoenix,2
King Hyperion,2
Shatterstar,2
Onslaught,2
Isis,2
Specter,2
Diamondback,2
Jewel,2
Omega Sentinel,2
Ultimate Captain America,2
Nighthawk,2
Scott Lang,2
Janet van Dyne,2
Mar-Vell,2
Skaar,2
Doc Green,2
Bloodhound,2
Starbolt,2
Tarantula,2
Lance Hunter,2
Skye,2
Cobra Commander,2
Destro,2
Shiva,2
Mister Miracle,2
Calculator,2
Batman Beyond,2
Demon,2
Drusilla,2
Spike,2
Tara Maclay,2
Amanda Waller,2
Nightshade,2
Phantom Stranger,2
Triplicate Girl,2
The Legion of Super-Heroes,2
Computo,2
Legion of Super-Heroes members,2
Tellus,2
Empress,2
Sub-Mariner,2
Doctor Light,2
Pavel Chekov,2
Commander Riker,2
Quark,2
Michael Burnham,2
McCoy,2
Picard,2
Geordi La Forge,2
Riker,2
Guinan,2
Nyota Uhura,2
Kira Nerys,2
Jadzia Dax,2
Stamets,2
Kirk,2
Bortus,2
Kon-El,2
A.R.G.U.S,2
Tula,2
Black Bat,2
Batman (alternate version),2
Orion,2
Black Alice,2
Red Orchid,2
The Metal Men,2
Hecate,2
Red Thunder,2
Scar,2
Athena,2
Vox Supreme,2
Phyla-Vell,2
Valeria Richards,2
Executioner,2
Skurge,2
Human Johnny Storm,2
Thunderbolt,2
Gladiator,2
Old Man Quill,2
Leader,2
Thor Odinson,2
Mothra,2
Ghidorah,2
Magus,2
Beta Ray Bill,2
Black Vortex,2
Orson Randall,2
The Living Weapon,2
Razor Fist,2
Beachhead,2
Ebony Blade,2
Rick Deckard,2
Mordo,2
Ancient One,2
Doyle Dormammu,2
Karolina Dean,2
Darkhold,2
Asgardia,2
The Penguin,2
Damage,2
Dollhouse,2
Dick Grayson,2
Court of Owls,2
Red Mask,2
The TARDIS,2
Martha Jones,2
Donna Noble,2
Frost Giant,2
Kurse,2
Mangog,2
King Thor,2
Sera,2
MACH-IV,2
Graviton,2
Parker,2
Riri Williams,2
Moonstar,2
Mobius M. Mobius,2
Miss Minutes,2
Sylvie,2
Alien,2
Gabe Jones,2
Xenomorph,2
Mister Negative,2
Kara Zor-El,2
Void Rivals,2
The Magician,2
Fear Itself,2
Klaws of the Panther,1
Swordfang,1
Alpha Flight,1
Warriors,1
Luke Skywalker,1
Princess Leia,1
C-3PO,1
R2-D2,1
Violator,1
Captain Comet,1
Weird,1
Redwing,1
Silk,1
Kid Nova,1
Arisia,1
Arcee,1
Fantasti Four,1
Bloodhunt,1
Replicant,1
Plunder,1
Cicada,1
Black Tarantula,1
Elongated Man,1
The Thinker,1
Gold-Blooded Killer,1
Orm Marius,1
John Jones,1
Reign,1
Worldkiller,1
Black Banshee,1
Living Nanotech,1
Tycho,1
Hellspawn,1
Lana Lang,1
Clark Kent/Superman,1
Etta Candy,1
Girl Giant,1
The Phantom Stranger,1
Arthur Curry,1
Lord Opal,1
Mister Mind,1
Immortal Man,1
Bonnie Baxter,1
Clever Mentallist,1
Deathblow,1
Majesty,1
Daniel Jackson,1
Teal'c,1
The Wall,1
The Jade Emperor,1
Jade Stone,1
Max Lord,1
Green Beetle,1
Eradicator,1
Shadow Cabinet,1
Cyborgborg,1
Speed Force,1
Haley,1
Skitter,1
King of Wakanda,1
Everett K. Ross,1
Malice,1
Lucas,1
The Winter Soldier,1
Klaw,1
Ramonda,1
Wakanda,1
Ulti-Mate,1
The Red Skull,1
Iron Torch,1
Inhuman Royal Family,1
Rose Wilson,1
S.H.I.E.L.D. agents,1
Superman (alternate version),1
Tomar-Tu,1
