title,issue,url,px_w,px_h,est_img_tokens
Barack Obama: Presidential Material,1,https://comicvine.gamespot.com/a/uploads/scale_medium/0/9116/841242-1.jpg,0,0,550
The All-Star Story of the Dodgers,1,https://comicvine.gamespot.com/a/uploads/scale_medium/0/3125/4012616-all1.jpg,0,0,550
Green Lantern,12,https://static.wikia.nocookie.net/marvel_dc/images/5/55/Green_Lantern_Vol_7_12.jpg,0,0,550
Green Lantern,10,https://static.wikia.nocookie.net/marvel_dc/images/4/40/Green_Lantern_Vol_7_10.jpg,0,0,550
Nightwing,113,https://static.wikia.nocookie.net/marvel_dc/images/f/f8/Nightwing_Vol_2_113.jpg,0,0,550
Lois Lane,3,https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/7059743-03.jpg,0,0,550
Martian Manhunter,1,https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/6713276-01.jpg,0,0,550
Batman,656,https://comicvine.gamespot.com/a/uploads/scale_medium/5/56044/1764770-batman__1940__656.jpeg,0,0,550
Batman,657,https://comicvine.gamespot.com/a/uploads/scale_medium/0/574/283868-796-121734-1-batman.jpg,0,0,550
Batman,436,https://static.wikia.nocookie.net/marvel_dc/images/c/cf/Batman_Vol_1_436.jpg,0,0,550
Doom Patrol,9,https://comicvine.gamespot.com/a/uploads/scale_medium/0/9116/1768615-9.jpg,0,0,550
Doom Patrol and Suicide Squad Special,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11112/111120209/4058136-dp%20%26%20ss%20fc.jpg,0,0,550
Suicide Squad,10,https://static.wikia.nocookie.net/marvel_dc/images/f/f0/Suicide_Squad_Vol_1_10.jpg,0,0,550
DC/Marvel: All Access,2,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/38504-5910-43263-1-dc--marvel-all-acce.jpg,0,0,550
The Mighty Thor,390,https://comicvine.gamespot.com/a/uploads/scale_medium/11/117763/3064333-198804%20thor%20v1%20%23390%20-%20page%201.jpg,0,0,550
Avengers,363,https://comicvine.gamespot.com/a/uploads/scale_medium/8/84205/3690476-%24_57k.jpg,0,0,550
Captain Marvel,50,https://comicvine.gamespot.com/a/uploads/scale_medium/11159/111592040/8978281-img_1250.jpeg,0,0,550
Cable,1,https://static.wikia.nocookie.net/marveldatabase/images/e/ee/Cable_Vol_1_1.jpg,0,0,550
Klaws of the Panther,1,https://comicvine.gamespot.com/a/uploads/scale_medium/0/6063/1439670-klaws.jpg,0,0,550
Fallen Son: The Death of Captain America,4,https://comicvine.gamespot.com/a/uploads/scale_medium/11/117127/4293603-0111-fallen_son_the_death_of_captain_america_num4_finch_cover.jpg,0,0,550
Alpha Flight,1,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/20946-3217-23361-1-alpha-flight.jpg,0,0,550
