row,chars,conf
0,Unknown,🔴
1,Unknown,🔴
2,"Green Lantern, Star Sapphire",🟢
3,"Hal Jordan, Green Lantern",🟢
4,"Nightwing, Deathstroke",🟢
5,Lois Lane,🟢
6,Martian Manhunter,🟢
7,"Batman, Scarecrow",🟢
8,"Batman, Robin",🟢
9,"Batman, Catwoman, Two-Face, Scarecrow",🟢
10,Doom Patrol,🟢
11,"Wonder Woman, Plastique, Deadshot, Bronze Tiger",🟢
12,"Batman, Deadshot",🟢
13,"Jubilee, Robin",🟢
14,"Thor, Captain America, Iron Man, Hawkeye, Hulk, Black Widow, Vision",🟢
15,"Captain America, Thor, Iron Man, Scarlet Witch",🟢
16,Unknown,🔴
17,Cable,🟢
18,"Klaws of the Panther, Black Panther, Swordfang",🟢
19,"Captain America, Spider-Man",🟢
20,"Spider-Man, Thing, Alpha Flight, X-Men",🟢
21,"Thor, Namorita, Firestar, Namor, Marvel Boy, Night Thrasher, Juggernaut, Warriors",🟢
22,"Exodus, Iron Fist",🟢
23,"She-Hulk, Mockingbird, Medusa, Captain Marvel, Scarlet Witch",🟢
24,Miles Morales,🟢
25,"Silver Surfer, Iron Man",🟢
26,"Wolverine, Cyclops, Storm",🟢
27,The Falcon,🟢
28,"Cyclops, Marvel Girl, Angel, Beast, Iceman, Magneto, Tower",🟢
29,"Hulk, Rick Jones",🟢
30,"The Hulk, Swamp Thing",🟢
31,"Rogue, Storm, Magneto",🟢
32,"Chewbacca, Han Solo, Luke Skywalker, Princess Leia, C-3PO, R2-D2",🟢
33,Unknown,🔴
34,Mockingbird,🟢
35,"Silver Surfer, Fantastic Four",🟢
36,Wildfire,🟢
37,"Spawn, Angela, Violator",🟢
38,Spawn,🟢
39,"Optimus Prime, Megatron",🟢
40,"Captain Comet, Weird",🟢
41,"Supergirl, Krypto",🟢
42,"Black Lightning, Wonder Woman",🟢
43,"Aquaman, The Flash, Wonder Woman, Green Lantern, Batman, Superman",🟢
44,Storm,🟢
45,Spider-Man,🟢
46,Black Panther,🟢
47,"Black Panther, Iron Fist, Luke Cage, Power Man, Falcon, Redwing",🟢
48,"Black Panther, Captain America, Scarlet Witch, Vision",🟢
49,Black Panther,🟢
50,"Captain America, Falcon",🟢
51,Captain Carter,🟢
52,Agent Carter,🟢
53,Spider-Man,🟢
54,Wolverine,🟢
55,"Wolverine, Deadpool",🟢
56,"Spider-Gwen, Miles Morales, Silk, Spider-Man Noir, Spider-Ham",🟢
57,"Sentinel, Jean Grey",🟢
58,"Magneto, Sentinel, Angel, Iceman, Marvel Girl, Beast",🟢
59,"Sentinel, Iceman, Marvel Girl, Nightcrawler",🟢
60,"Beast, Cable, Wolverine",🟢
61,Superman,🟢
62,"Superman, Doomsday",🟢
63,"Superman, Doomsday",🟢
