Title,Decision
Absolute Batman,y
Action Comics,y
Avengers,y
Batgirl,y
Black,y
Captain America,y
Captain America/Black Panther: Flags of Our Fathers,y
Captain America: Reborn,y
Cyborg,y
Dazzler,y
Deadpool,y
Detective Comics,y
Fantastic Four,y
Huntress,y
Justice League,y
Justice League Unlimited,y
Martian Manhunter,y
Monsters Unleashed,y
Moon Knight,y
New Suicide Squad,y
Nightwing,y
S.H.I.E.L.D.,y
Secret Six,y
The Amazing Spider-Man,y
Thor,y
Titans,y
Ultimate Spider-Man: Incursion,y
X-Men: Hope,y
Avengers Forever,y
Batman and the Outsiders,y
Dark Avengers,y
Green Lantern,y
Hawkeye,y
Incredible Hulk,y
Rocket Raccoon,y
Ultimate X-Men,y
Age of Apocalypse,n
Captain America and Black Widow,n
Captain America and Bucky,n
Captain America and Hawkeye,n
Captain America and Iron Man,n
Captain America and Namor,n
Nightwing Annual,n
Robin,n
