Title,Issue,Box,Year,Declared_Volume,GCD_Derived_Volume,GCD_Series,GCD_volume_count_for_title,Reconciliation
Captain Marvel,50,1,2021,1,14,Captain Marvel (2019-2023),15,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Star Wars,1,1,2015,1,2,Star Wars (2015-2020),7,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Mystery in Space,1,1,2006,1,2,Mystery in Space (2006-2007),4,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Black Panther,1,1,2016,7,6,Black Panther (2016-2018),10,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Ultimate Spider-Man,1,1,2024,1,5,Ultimate Spider-Man (2024-2026),5,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Secret Wars,1,1,2015,1,3,Secret Wars (2015-2016),4,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Daredevil,1,72,2024,7,10,Daredevil (2023-2025),11,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Storm,1,72,2024,1,8,Storm (2024-2025),9,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Storm,4,72,2024,1,8,Storm (2024-2025),9,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Punisher,3,72,2024,1,7,Punisher (2024-2024),8,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Superboy,4,57,2012,1,5,Superboy (2012-2015),6,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Superboy,5,57,2012,1,5,Superboy (2012-2015),6,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Superboy,6,57,2012,1,5,Superboy (2012-2015),6,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Superboy,7,57,2012,1,5,Superboy (2012-2015),6,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Teen Titans Go!,1,60,2014,1,2,Teen Titans Go! (2014-2019),4,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Shazam!,8,60,2023,1,7,Shazam! (2023-2025),8,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Shazam!,11,60,2023,1,7,Shazam! (2023-2025),8,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Shazam!,12,60,2023,1,7,Shazam! (2023-2025),8,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Batman/Superman: World's Finest,9,50,2022,4,2,Batman / Superman: World's Finest (2022-?),4,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Justice Society of America,10,50,2023,1,4,Justice Society of America (2023-2024),5,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Justice Society of America,12,50,2023,1,4,Justice Society of America (2023-2024),5,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Shazam!,5,50,2023,1,7,Shazam! (2023-2025),8,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Shazam!,6,50,2023,1,7,Shazam! (2023-2025),8,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Batman/Superman: World's Finest,1,49,2022,4,2,Batman / Superman: World's Finest (2022-?),4,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Checkmate,1,49,2021,1,3,Checkmate (2021-2021),4,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Checkmate,2,49,2021,1,3,Checkmate (2021-2021),4,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Checkmate,3,49,2021,1,3,Checkmate (2021-2021),4,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Checkmate,4,49,2021,1,3,Checkmate (2021-2021),4,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Checkmate,5,49,2021,1,3,Checkmate (2021-2021),4,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Checkmate,6,49,2021,1,3,Checkmate (2021-2021),4,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Legion of Super-Heroes,5,49,2020-2021,1,10,Legion of Super-Heroes (2020-2021),11,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Legion of Super-Heroes,6,49,2020-2021,1,10,Legion of Super-Heroes (2020-2021),11,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Legion of Super-Heroes,7,49,2020-2021,1,10,Legion of Super-Heroes (2020-2021),11,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Legion of Super-Heroes,8,49,2020-2021,1,10,Legion of Super-Heroes (2020-2021),11,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Legion of Super-Heroes,9,49,2020-2021,1,10,Legion of Super-Heroes (2020-2021),11,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
Legion of Super-Heroes,10,49,2020-2021,1,10,Legion of Super-Heroes (2020-2021),11,ACCEPTED — GCD counts every same-name series (specials/reprints); declared collector-numbering kept
